index,pdb_id,uniprot_id,family,true_Em,gpr_pred,gpr_pred_raw,gpr_sigma,pred_4q,pred_q_used,pred_final,quantum_delta,nudge,delta_q_used,abs_err_gpr,abs_err_4q,abs_err_final,complexity_score,used_model,Around_N5_Flexibility,Around_N5_HBondCap,homo_lumo_gap,quantum_polarizability,n5_spin_density,n10_spin_density,st_gap,magnetic_sensitivity_index
21,1CZH,P10340,reductase,-321.5,-291.0823418914316,-291.0823418914316,86.43704789277531,-269.36581275181913,-602.360595740151,-291.0823418914316,-311.2782538487194,0.0,-311.2782538487194,30.41765810856839,52.134187248180865,30.41765810856839,1.9430353075410118,hybrid_8q,1.2400000000000002,1.0,,,,,,
22,1CZK,P10340,reductase,-313.5,-304.69582820366315,-304.69582820366315,82.56830673078271,-263.74210989703244,-263.74210989703244,-304.69582820366315,40.95371830663072,0.0,40.95371830663072,8.804171796336846,49.757890102967565,8.804171796336846,0.9721761806198618,gpr,1.47,2.0,,,,,,
23,1CZL,P10340,reductase,-332.0,-297.40525521132486,-297.40525521132486,89.57968081388023,-302.65657180547737,-302.65657180547737,-297.40525521132486,-5.251316594152513,-0.0,-5.251316594152513,34.59474478867514,29.34342819452263,34.59474478867514,1.603291469681745,gpr,1.16,3.0,,,,,,
24,1CZO,P10340,reductase,-321.5,-291.0823418914316,-291.0823418914316,86.43704789277531,-269.36581275181913,-602.360595740151,-291.0823418914316,-311.2782538487194,0.0,-311.2782538487194,30.41765810856839,52.134187248180865,30.41765810856839,1.9430353075410118,hybrid_8q,1.2400000000000002,1.0,,,,,,
25,1CZR,P10340,reductase,-303.5,-304.69582820366315,-304.69582820366315,82.56830673078271,-263.74210989703244,-263.74210989703244,-304.69582820366315,40.95371830663072,0.0,40.95371830663072,1.1958282036631545,39.757890102967565,1.1958282036631545,0.9721761806198618,gpr,1.47,2.0,,,,,,
26,1CZU,P10340,reductase,-331.5,-304.69582820366315,-304.69582820366315,82.56830673078271,-263.74210989703244,-263.74210989703244,-304.69582820366315,40.95371830663072,0.0,40.95371830663072,26.804171796336846,67.75789010296756,26.804171796336846,0.9721761806198618,gpr,1.47,2.0,,,,,,
28,1D04,P10340,reductase,-332.0,-325.8918252472158,-325.8918252472158,76.33730308815822,-288.2736603290424,-288.2736603290424,-325.8918252472158,37.61816491817342,0.0,37.61816491817342,6.10817475278418,43.7263396709576,6.10817475278418,0.9321761806198617,gpr,1.39,2.0,,,,,,
30,1EVI,P00371,reductase,-200.0,-178.54431752552532,-178.54431752552532,78.24657633536418,-165.82028558721117,-364.24137780770343,-178.54431752552532,-185.69706028217811,-1.922501180064398,-185.69706028217811,21.455682474474685,34.179714412788826,21.455682474474685,2.863655579674761,hybrid_8q,1.26,0.0,,,,,,
32,1F6M,P0A9P4,reductase,-270.0,-248.43358818727532,-248.43358818727532,92.03436263221282,-242.14864198116945,-483.2541596265987,-248.43358818727532,-234.8205714393234,0.0,-234.8205714393234,21.56641181272468,27.851358018830553,21.56641181272468,1.6732914696817427,hybrid_8q,1.3,3.0,,,,,,
33,1F8W,P37062,reductase,-261.0,-233.37294068332682,-233.37294068332682,84.75855856532952,-201.14921691681545,-448.12031322506357,-233.37294068332682,-214.74737254173675,0.0,-214.74737254173675,27.627059316673183,59.85078308318455,27.627059316673183,1.9085303244691456,hybrid_8q,1.42,1.0,,,,,,
34,1FDR,P28861,reductase,-288.0,-257.65012291081933,-257.65012291081933,92.03451042035194,-266.1732303619596,-459.3633953206271,-257.65012291081933,-201.71327240980776,0.0,-201.71327240980776,30.349877089180666,21.82676963804039,30.349877089180666,6.612156590745907,hybrid_8q,1.31,5.0,,,,,,
35,1FLA,P00322,nitroreductase,-267.0,-246.66605929960082,-246.66605929960082,92.03451042035194,-248.39861728654466,-407.6675342199096,-246.66605929960082,-161.0014749203088,0.0,-161.0014749203088,20.333940700399182,18.601382713455337,20.333940700399182,5.990732475624031,hybrid_8q,1.32,4.0,,,,,,
36,1FLD,P00322,reductase,-295.0,-261.31147793291734,-261.31147793291734,92.03451042035194,-259.4327183045025,-573.7322683073808,-261.31147793291734,-312.4207903744634,0.0,-312.4207903744634,33.68852206708266,35.56728169549751,33.68852206708266,1.499520358325411,hybrid_8q,1.1,1.0,,,,,,
37,1FLN,P00322,reductase,-257.5,-241.67569601007693,-241.67569601007693,92.034503874067,-212.6259509402597,-478.9206363348676,-241.67569601007693,-237.24494032479066,0.0,-237.24494032479066,15.824303989923067,44.87404905974029,15.824303989923067,2.908655579674761,hybrid_8q,1.35,0.0,,,,,,
40,1FNB,P00455,reductase,-342.5,-325.8918252472158,-325.8918252472158,76.33730308815822,-290.27232539806454,-765.3197811464328,-325.8918252472158,-439.42795589921695,0.0,-439.42795589921695,16.60817475278418,52.22767460193546,16.60817475278418,0.9321761806198617,hybrid_16q,1.39,2.0,0.017099068028256115,0.335195530726257,3.0140462037665476e-32,1.903401342663208e-27,0.017099068028256115,7.613725932500982e-27
41,1FVX,P00322,reductase,-267.0,-248.0383265797529,-248.0383265797529,83.29216824559366,-216.0161681957188,-482.16208739416857,-248.0383265797529,-234.12376081441568,0.0,-234.12376081441568,18.96167342024711,50.98383180428121,18.96167342024711,2.0180353075410116,hybrid_8q,1.39,1.0,,,,,,
42,1FX1,P00323,reductase,-265.0,-262.0414436033738,-262.0414436033738,81.81493847590161,-258.3067090432632,-258.3067090432632,-262.0414436033738,3.73473456011061,0.0,3.73473456011061,2.958556396626193,6.693290956736803,2.958556396626193,1.591038978145813,gpr,1.26,3.0,,,,,,
43,1FX1,P00323,reductase,-291.5,-262.0414436033738,-262.0414436033738,81.81493847590161,-258.3067090432632,-258.3067090432632,-262.0414436033738,3.73473456011061,0.0,3.73473456011061,29.458556396626193,33.1932909567368,29.458556396626193,1.591038978145813,gpr,1.26,3.0,,,,,,
44,1GJR,P21890,reductase,-344.0,-325.8918252472158,-325.8918252472158,76.33730308815822,-290.27232539806454,-765.3197811464328,-325.8918252472158,-439.42795589921695,0.0,-439.42795589921695,18.10817475278418,53.72767460193546,18.10817475278418,0.9321761806198617,hybrid_16q,1.39,2.0,0.017099068028256115,0.335195530726257,3.0140462037665476e-32,1.903401342663208e-27,0.017099068028256115,7.613725932500982e-27
45,1GJR,P21890,reductase,-317.0,-325.8918252472158,-325.8918252472158,76.33730308815822,-290.27232539806454,-765.3197811464328,-325.8918252472158,-439.42795589921695,0.0,-439.42795589921695,8.89182524721582,26.727674601935462,8.89182524721582,0.9321761806198617,hybrid_16q,1.39,2.0,0.017099068028256115,0.335195530726257,3.0140462037665476e-32,1.903401342663208e-27,0.017099068028256115,7.613725932500982e-27
51,1IUW,P20586,reductase,-163.0,-192.26865947325342,-192.26865947325342,92.0345104203098,-192.19082401985062,-317.8424300179754,-192.26865947325342,-125.57377054472198,0.0,-125.57377054472198,29.26865947325342,29.190824019850623,29.26865947325342,6.010546284755892,hybrid_8q,1.4300000000000002,4.0,,,,,,
52,1J8Q,P00323,nitroreductase,-291.5,-271.16377640698073,-271.16377640698073,86.43704789280453,-246.62424868999977,-413.84546500510953,-271.16377640698073,-142.6816885981288,0.0,-142.6816885981288,20.33622359301927,44.875751310000226,20.33622359301927,5.923975001016232,hybrid_8q,1.56,4.0,,,,,,
53,1J8Q,P00323,nitroreductase,-293.5,-271.16377640698073,-271.16377640698073,86.43704789280453,-246.62424868999977,-413.84546500510953,-271.16377640698073,-142.6816885981288,0.0,-142.6816885981288,22.33622359301927,46.875751310000226,22.33622359301927,5.923975001016232,hybrid_8q,1.56,4.0,,,,,,
54,1JR8,Q12284,nitroreductase,-200.0,-211.62166587333212,-211.62166587333212,92.03451042035194,-215.61142301223825,-337.6343946514279,-211.62166587333212,-126.01272877809578,0.0,-126.01272877809578,11.62166587333212,15.611423012238248,11.62166587333212,4.329915204153832,hybrid_8q,1.36,4.0,,,,,,
56,1KIF,P00371,reductase,-185.0,-178.54431752552532,-178.54431752552532,78.24657633536418,-165.82028558721117,-364.24137780770343,-178.54431752552532,-185.69706028217811,-1.922501180064398,-185.69706028217811,6.455682474474685,19.179714412788826,6.455682474474685,2.863655579674761,hybrid_8q,1.26,0.0,,,,,,
57,1KIF,P00371,reductase,-151.0,-178.54431752552532,-178.54431752552532,78.24657633536418,-165.82028558721117,-364.24137780770343,-178.54431752552532,-185.69706028217811,0.0,-185.69706028217811,27.544317525525315,14.820285587211174,27.544317525525315,2.863655579674761,hybrid_8q,1.26,0.0,,,,,,
59,1LTD,P00175,reductase,-90.0,-124.31679533782193,-124.31679533782193,83.39626731294356,-124.9494890648054,-124.9494890648054,-124.31679533782193,-0.6326937269834758,-0.0,-0.6326937269834758,34.31679533782193,34.949489064805405,34.31679533782193,1.7212778329332137,gpr,1.17,1.0,,,,,,
65,1NHQ,P37062,reductase,-219.0,-209.0874395277022,-209.0874395277022,90.90111138645932,-179.92576251536738,-373.7412404176149,-209.0874395277022,-164.6538008899127,-3.265035597224154,-164.6538008899127,9.912560472297798,39.07423748463262,9.912560472297798,1.0171761806198618,hybrid_8q,1.56,2.0,,,,,,
66,1NHR,P37062,reductase,-235.0,-229.92843855869637,-229.92843855869637,92.03451042035194,-209.08968727679377,-439.52491276449666,-229.92843855869637,-209.5964742058003,0.0,-209.5964742058003,5.071561441303629,25.910312723206232,5.071561441303629,0.9101098799520684,hybrid_8q,1.4,2.0,,,,,,
69,1OBO,P0A3E0,reductase,-339.0,-311.12911214381853,-311.12911214381853,84.48469470746085,-270.03688170815764,-270.03688170815764,-311.12911214381853,41.092230435660895,1.044447132912941,41.092230435660895,27.87088785618147,68.96311829184236,27.87088785618147,0.9671761806198618,hybrid_4q,1.46,2.0,,,,,,
72,1QGZ,P21890,reductase,-302.0,-325.8918252472158,-325.8918252472158,76.33730308815822,-290.27232539806454,-290.27232539806454,-325.8918252472158,35.61949984915128,0.0,35.61949984915128,23.89182524721582,11.727674601935462,23.89182524721582,0.9321761806198617,gpr,1.39,2.0,,,,,,
73,1QH0,P21890,reductase,-317.0,-325.8918252472158,-325.8918252472158,76.33730308815822,-290.27232539806454,-290.27232539806454,-325.8918252472158,35.61949984915128,0.0,35.61949984915128,8.89182524721582,26.727674601935462,8.89182524721582,0.9321761806198617,gpr,1.39,2.0,,,,,,
75,1QLU,P56216,nitroreductase,-90.5,-122.2241437578751,-77.99131219991108,83.56508577004797,-84.65749440411425,-152.05150922637765,-122.2241437578751,-29.82736546850255,0.0,-29.82736546850255,31.724143757875098,5.842505595885754,31.724143757875098,1.9634022360629353,hybrid_8q,1.39,2.0,,,,,,
76,1QO8,Q9Z4P0,reductase,-152.0,-186.4289967509887,-186.4289967509887,92.03447420838533,-169.020547684238,-368.13285536574153,-186.4289967509887,-181.70385861475285,0.0,-181.70385861475285,34.42899675098869,17.02054768423801,34.42899675098869,1.8635303244691457,hybrid_8q,1.33,1.0,,,,,,
78,1QUF,P21890,reductase,-325.0,-325.8918252472158,-325.8918252472158,76.33730308815822,-290.27232539806454,-290.27232539806454,-325.8918252472158,35.61949984915128,0.0,35.61949984915128,0.8918252472158201,34.72767460193546,0.8918252472158201,0.9321761806198617,gpr,1.39,2.0,,,,,,
80,1SIQ,Q92947,reductase,-132.0,-134.71113398487813,-134.71113398487813,81.81493446728858,-139.85764713163442,-291.1937085439532,-134.71113398487813,-156.4825745590751,0.0,-156.4825745590751,2.7111339848781313,7.8576471316344225,2.7111339848781313,1.6139726774780176,hybrid_16q,1.36,3.0,0.028199633924128165,0.5113636363636364,3.6783386574568204e-31,3.2120504985079036e-32,0.028199633924128165,1.5998174829230444e-30
81,1SIQ,Q92947,reductase,-156.0,-134.71113398487813,-134.71113398487813,81.81493446728858,-139.85764713163442,-291.1937085439532,-134.71113398487813,-156.4825745590751,0.0,-156.4825745590751,21.28886601512187,16.142352868365577,21.28886601512187,1.6139726774780176,hybrid_16q,1.36,3.0,0.028199633924128165,0.5113636363636364,3.6783386574568204e-31,3.2120504985079036e-32,0.028199633924128165,1.5998174829230444e-30
86,1YOB,P00324,reductase,-250.5,-269.3427404475485,-269.3427404475485,86.43703691052696,-226.00082150853527,-619.9928771130433,-269.3427404475485,-350.65013666549476,0.0,-350.65013666549476,18.842740447548522,24.499178491464733,18.842740447548522,2.120287799076946,hybrid_16q,1.47,1.0,0.0041409043666953416,0.16042780748663102,3.00826837096469e-26,8.468563274139254e-33,0.0041409043666953416,1.2033076871284071e-25
91,2E48,P14920,reductase,-134.0,-150.62225062536646,-150.62225062536646,86.43704789277095,-151.77016631592068,-327.62663995047967,-150.62225062536646,-177.0043893251132,0.0,-177.0043893251132,16.622250625366462,17.770166315920676,16.622250625366462,2.7886555796747614,hybrid_8q,1.11,0.0,,,,,,
93,2FOX,P00322,nitroreductase,-245.5,-238.88201283856446,-238.88201283856446,86.43704789280453,-222.41514506282707,-443.0648778404287,-238.88201283856446,-204.18286500186426,0.0,-204.18286500186426,6.617987161435536,23.084854937172935,6.617987161435536,2.316917185278535,hybrid_8q,1.35,2.0,,,,,,
94,2FVX,P00322,nitroreductase,-295.0,-272.8808914904071,-272.8808914904071,86.43704789280453,-270.8132818101995,-508.6601269358798,-272.8808914904071,-235.7792354454727,0.0,-235.7792354454727,22.119108509592877,24.1867181898005,22.119108509592877,3.3642949320200835,hybrid_8q,1.25,3.0,,,,,,
97,2OHI,Q50497,nitroreductase,-230.0,-228.23589957924582,-228.23589957924582,86.43704789280453,-218.51465803364934,-391.1232039479719,-228.23589957924582,-162.88730436872606,0.0,-162.88730436872606,1.7641004207541755,11.48534196635066,1.7641004207541755,3.1852849658763502,hybrid_8q,1.39,3.0,,,,,,
98,2OHJ,Q50497,nitroreductase,-230.0,-228.23589957924582,-228.23589957924582,86.43704789280453,-218.51465803364934,-391.1232039479719,-228.23589957924582,-162.88730436872606,0.0,-162.88730436872606,1.7641004207541755,11.48534196635066,1.7641004207541755,3.1852849658763502,hybrid_8q,1.39,3.0,,,,,,
99,2PIA,P33164,reductase,-229.0,-226.88346767492192,-226.88346767492192,92.03448600226163,-200.89331493626807,-447.01022565713987,-226.88346767492192,-220.12675798221795,0.0,-220.12675798221795,2.116532325078083,28.10668506373193,2.116532325078083,1.567267866789479,hybrid_8q,1.36,1.0,,,,,,
101,2V5V,P0A3E0,reductase,-337.0,-311.12911214381853,-311.12911214381853,84.48469470746085,-270.03688170815764,-270.03688170815764,-311.12911214381853,41.092230435660895,1.044447132912941,41.092230435660895,25.87088785618147,66.96311829184236,25.87088785618147,0.9671761806198618,hybrid_4q,1.46,2.0,,,,,,
102,2X3U,P21890,reductase,-356.0,-325.8918252472158,-325.8918252472158,76.33730308815822,-290.27232539806454,-290.27232539806454,-325.8918252472158,35.61949984915128,0.0,35.61949984915128,30.10817475278418,65.72767460193546,30.10817475278418,0.9321761806198617,gpr,1.39,2.0,,,,,,
104,3CLS,P53571,reductase,-101.0,-134.9089665978878,-96.11248768564354,81.81493854254926,-100.33904968486169,-198.662958571247,-134.9089665978878,-63.753991973359206,0.0,-63.753991973359206,33.9089665978878,0.660950315138308,33.9089665978878,1.8555439612176772,hybrid_8q,1.54,3.0,,,,,,
105,3CLT,P53571,reductase,-129.0,-134.9089665978878,-96.11248768564354,81.81493854254926,-100.33904968486169,-198.662958571247,-134.9089665978878,-63.753991973359206,0.0,-63.753991973359206,5.908966597887797,28.660950315138308,5.908966597887797,1.8555439612176772,hybrid_8q,1.54,3.0,,,,,,
106,3CNJ,P12676,reductase,-153.0,-161.90776150830487,-161.90776150830487,78.21816582844264,-144.2807412665913,-144.2807412665913,-161.90776150830487,17.62702024171358,0.0,17.62702024171358,8.907761508304873,8.719258733408708,8.907761508304873,1.0071761806198618,gpr,1.54,2.0,,,,,,
107,3GIY,P20932,reductase,-118.0,-124.31679533782193,-124.31679533782193,83.39626731294356,-124.9494890648054,-124.9494890648054,-124.31679533782193,-0.6326937269834758,-0.0,-0.6326937269834758,6.3167953378219295,6.949489064805405,6.3167953378219295,1.7212778329332137,gpr,1.17,1.0,,,,,,
112,3KAQ,P80312,reductase,-213.5,-198.87062005458054,-198.87062005458054,91.0897135099541,-195.28794524172156,-425.1068861837599,-198.87062005458054,-226.23626612917937,-3.337706868416715,-226.23626612917937,14.629379945419458,18.21205475827844,14.629379945419458,1.7112778329332137,hybrid_8q,1.15,1.0,,,,,,
113,3NLL,P00322,reductase,-258.0,-248.0383265797529,-248.0383265797529,83.29216824559366,-216.0161681957188,-482.16208739416857,-248.0383265797529,-234.12376081441568,0.0,-234.12376081441568,9.96167342024711,41.98383180428121,9.96167342024711,2.0180353075410116,hybrid_8q,1.39,1.0,,,,,,
114,3QFS,P16435,reductase,-354.5,-325.8918252472158,-325.8918252472158,76.33730308815822,-290.27232539806454,-765.3197811464328,-325.8918252472158,-439.42795589921695,0.0,-439.42795589921695,28.60817475278418,64.22767460193546,28.60817475278418,0.9321761806198617,hybrid_16q,1.39,2.0,0.017099068028256115,0.335195530726257,3.0140462037665476e-32,1.903401342663208e-27,0.017099068028256115,7.613725932500982e-27
116,3QFS,P16435,reductase,-332.5,-325.8918252472158,-325.8918252472158,76.33730308815822,-290.27232539806454,-765.3197811464328,-325.8918252472158,-439.42795589921695,0.0,-439.42795589921695,6.60817475278418,42.22767460193546,6.60817475278418,0.9321761806198617,hybrid_16q,1.39,2.0,0.017099068028256115,0.335195530726257,3.0140462037665476e-32,1.903401342663208e-27,0.017099068028256115,7.613725932500982e-27
118,3QJ4,Q5VYX0,reductase,-155.0,-188.07795385293167,-188.07795385293167,92.03450983048982,-175.11520301732583,-356.2982685165423,-188.07795385293167,-168.22031466361062,0.0,-168.22031466361062,33.07795385293167,20.115203017325825,33.07795385293167,1.118933655227662,hybrid_8q,1.39,2.0,,,,,,
120,3W2I,P83686,reductase,-194.0,-190.18025063285214,-190.18025063285214,81.64853815643542,-166.32513775126043,-363.12917904781636,-190.18025063285214,-172.94892841496423,-2.2846355586971216,-172.94892841496423,3.819749367147864,27.674862248739572,3.819749367147864,2.028035307541012,hybrid_8q,1.41,1.0,,,,,,
121,3W5H,P83686,reductase,-160.0,-182.03116896399217,-182.03116896399217,83.56508566421381,-171.47673308911712,-171.47673308911712,-182.03116896399217,10.554435874875054,0.0,10.554435874875054,22.031168963992172,11.476733089117118,22.031168963992172,1.0466811636917304,hybrid_4q,1.37,2.0,,,,,,
125,4DQL,P14779,reductase,-332.0,-325.8918252472158,-325.8918252472158,76.33730308815822,-290.27232539806454,-290.27232539806454,-325.8918252472158,35.61949984915128,0.0,35.61949984915128,6.10817475278418,41.72767460193546,6.10817475278418,0.9321761806198617,gpr,1.39,2.0,,,,,,
128,4NLL,P00322,reductase,-259.0,-248.0383265797529,-248.0383265797529,83.29216824559366,-216.0161681957188,-482.16208739416857,-248.0383265797529,-234.12376081441568,0.0,-234.12376081441568,10.96167342024711,42.98383180428121,10.96167342024711,2.0180353075410116,hybrid_8q,1.39,1.0,,,,,,
130,4TTB,Q6PHW0,reductase,-233.0,-224.11482315151108,-224.11482315151108,86.43704789280453,-215.94854087612072,-215.94854087612072,-224.11482315151108,8.166282275390358,0.0,8.166282275390358,8.885176848488925,17.051459123879283,8.885176848488925,0.7476711975479956,hybrid_4q,1.27,2.0,,,,,,
134,5NLL,P00322,reductase,-245.5,-255.88145251146284,-255.88145251146284,86.43704789280453,-240.4407448587981,-539.924430749154,-255.88145251146284,-284.04297823769116,0.0,-284.04297823769116,10.38145251146284,5.059255141201902,10.38145251146284,2.646898105066961,hybrid_8q,1.2,0.0,,,,,,
135,5NUL,P00322,nitroreductase,-295.0,-272.8808914904071,-272.8808914904071,86.43704789280453,-270.8132818101995,-508.6601269358798,-272.8808914904071,-235.7792354454727,0.0,-235.7792354454727,22.119108509592877,24.1867181898005,22.119108509592877,3.3642949320200835,hybrid_8q,1.25,3.0,,,,,,
136,5ULL,P00322,nitroreductase,-245.5,-238.88201283856446,-238.88201283856446,86.43704789280453,-222.41514506282707,-443.0648778404287,-238.88201283856446,-204.18286500186426,0.0,-204.18286500186426,6.617987161435536,23.084854937172935,6.617987161435536,2.316917185278535,hybrid_8q,1.35,2.0,,,,,,
137,5YAK,Q6PHW0,reductase,-215.0,-224.11482315151108,-224.11482315151108,86.43704789280453,-215.94854087612072,-215.94854087612072,-224.11482315151108,8.166282275390358,0.0,8.166282275390358,9.114823151511075,0.9485408761207168,9.114823151511075,0.7476711975479956,hybrid_4q,1.27,2.0,,,,,,
